Rank,Country,country,continent,2024 population,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,Land Area (Km²),density (km²),Yearly Change,Net Change,Fert. Rate,Med. Age,Urban Pop %,growth rate,world percentage
126,MRT,Mauritania,Africa,5169395,4862989,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,"10,30,700",5,2.93%,"1,46,954",4.6,17,60%,2.68%,0.06%
127,OMN,Oman,Asia,5129910,4644384,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,"51,060",15,0.48%,"24,385",1.3,35,84%,1.49%,0.06%
128,PAN,Panama,North America,4934507,4468087,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,"17,820",60,1.98%,"95,725",1.5,35,92%,1.35%,0.06%
129,KWT,Kuwait,Asia,4515577,4310108,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,"74,340",242,1.27%,"56,818",2.1,30,70%,0.97%,0.06%
130,HRV,Croatia,Europe,3875325,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,"55,960",72,-0.53%,"-20,698",1.5,45,61%,-0.54%,0.05%
131,ERI,Eritrea,Africa,3807670,3748901,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,"69,490",31,0.00%,178,1.8,37,62%,1.76%,0.05%
132,GEO,Georgia,Asia,3535603,3728282,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,"1,01,000",54,1.88%,"65,213",3.7,19,74%,-0.43%,0.04%
133,MNG,Mongolia,Asia,3475540,3447157,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,"15,53,560",2,1.27%,"43,608",2.6,27,67%,1.44%,0.04%
134,MDA,Moldova,Europe,3386588,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,"1,75,020",104,-0.04%,"-1,493",1.4,36,N.A.,4.98%,0.04%
135,URY,Uruguay,South America,3242204,3423108,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,"8,870",20,0.01%,181,0.9,45,N.A.,0.01%,0.04%
136,PRI,Puerto Rico,North America,3164253,3260314,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,"51,000",368,-0.65%,"-20,820",1.5,45,56%,0.24%,0.04%
137,BIH,Bosnia and Herzegovina,Europe,3048423,3210847,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,"11,610",63,2.33%,"69,341",1.7,34,97%,-0.70%,0.04%
138,ALB,Albania,Europe,3034961,2832439,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,"32,850",103,-1.05%,"-32,109",1.7,38,57%,-0.35%,0.04%
139,JAM,Jamaica,North America,3030131,2825544,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,"8,23,290",261,2.26%,"67,036",3.2,21,54%,-0.06%,0.04%
140,ARM,Armenia,Asia,2973840,2777970,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,"28,470",98,1.03%,"30,447",1.7,36,63%,-0.09%,0.04%
141,GMB,Gambia,Africa,2859110,2773168,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,"62,674",274,0.18%,"5,011",1.2,42,68%,2.48%,0.04%
142,LTU,Lithuania,Europe,2839175,2718352,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,"10,830",43,-0.02%,-611,1.4,32,60%,-1.15%,0.03%
